矮***丝,2017/6/6 17:29,1300黑金,43,尺码：43 鞋子质量也很好，鞋底耐磨也很软，性价比挺高的，质量赶紧不错，颜色比较百搭，看着韩版但是又很潮，穿几天再来评价，耐穿的话下次会再来光顾的。挺好的。,,,,,,
清***子,2017/6/6 16:35,2323白黑,41,鞋子版型很好，而且这么便宜的鞋子居然不臭脚！透气性也很好！老公很喜欢，！给老板满分不要骄傲哦,,,,,,
x***7,2017/6/2 14:45,A877白黑,43,版型不错，合脚，质量也行，已经穿这双鞋连续四天每天公司~宿舍6公里来回跑了，都没有坏，值得推荐,,,,,,
农***朴,2017/6/8 20:46,1717白黑,41,脚感不错，样子也挺好看的,,,,,,
l***9,2017/6/11 18:42,006黑红,40,宝贝收到了还是非常满意的大小也合适,,,,,,
你***2,2017/6/10 18:58,838黑红,41,鞋子穿着很舒服，也很好看准备在入手一双,,,,,,
东***k,2017/6/4 12:51,238黑红,42,<b></b>此<b></b>用<b></b>户<b></b>没<b></b>有<b></b>填<b></b>写<b></b>评<b></b>论<b></b>!<b></b>,,,,,,
t***4,2017/6/12 15:54,1717黑色,42,42 质量非常好 款式漂亮，穿着舒服，特别轻，走路一点也不累，没有难闻的气味，性价比很高，与卖家描述的一样，发货快，我很满！,,,,,,
x***9,2017/6/12 17:37,2323白红,42,样子不错，便宜，挺实惠的。,,,,,,
l***3,2017/6/6 9:54,1717黑金,44,鞋子的版型还不错，黑色穿上去显脚小，还挺满意的,,,,,,
贱***7,2017/6/9 18:27,838黑红,44,看着不错，就是不知道质量怎么样，穿过再来评价,,,,,,
q***3,2017/6/12 19:17,1717黑金,41,不错哦 这个价 绝对值,,,,,,
m***8,2017/6/8 20:02,006黑白,40,打开盒子，里面有个香包，鞋子整体不错！穿起来舒服，款式很好看。刚开始穿可能有点紧，但第二天就不会了，新鞋一般都这样！就是客服这块要改进下！我穿的皮鞋40码就叫我买40码，后来可能是售后联系我，叫我改成41的！这点做的很好！望店家可以继续保持下去！总体：店家很好，服务到位！放心购买,,,,,,
m***8,2017/6/8 20:02,D01黑红,40,打开盒子，里面有个香包还蛮香的！鞋子整体不错！穿起来舒服，款式很好看。刚开始穿可能有点紧，但第二天就不会了，新鞋一般都这样！就是客服这块要改进下哦！我穿的皮鞋40码就我买40码，后来可能是售后联系我，叫我改成41的！这点做的很好！望店家可以继续保持下去！总体：店家很好，服务到位！,,,,,,
快***兵,2017/6/9 17:18,1717黑金,42,非常喜欢这双鞋子，好看,,,,,,
革***云,2017/6/11 19:47,1717白绿,41,鞋子到了，真的是很漂亮的呢，看起来就好，穿起来别人也说是帅的，而且质量看起来也特别好，总得来说很满意的一次购物i，下次还来这家,,,,,,
国***0,2017/6/5 10:33,1717黑金,39,我很喜欢这个造型的鞋子，感觉不错漂亮实惠又好看质量不错??,,,,,,
野***j,2017/6/3 22:28,1717黑金,39,鞋子质量非常好，样式好看，码数合适，我老公穿上说很舒服呢，下次再来！,,,,,,
研***恩,2017/6/10 15:02,1717黑红,43,穿上很舒适，做工精细，用料也很棒！非常满意！,,,,,,
矮***丝,2017/6/6 17:29,1300黑金,43,尺码：43 鞋子质量也很好，鞋底耐磨也很软，性价比挺高的，质量赶紧不错，颜色比较百搭，看着韩版但是又很潮，穿几天再来评价，耐穿的话下次会再来光顾的。挺好的。,,,,,,
太***衍,2017/6/11 18:54,D01白色,42,买了一双觉得特别好，果断又买了一双，良心评价，大家可以放心购买,,,,,,
龙***圣,2017/6/9 13:06,1717白红,41,款式很漂亮，没有色差！穿上也挺舒服的！！,,,,,,
大***9,2017/6/4 10:05,1717黑金,40,鞋子版型很好 穿上显得精干利索 还很舒服 透气舒适 喜欢的亲们赶紧下手吧,,,,,,
h***e,2017/6/3 7:27,D01白色,39,宝贝跟描述相符。一直想要买，对比了其他店的，还是这双好看销量高价格也实惠，比较休闲款好搭衣服，搭配件小脚裤很棒超帅，特别好看，穿得挺舒服的很轻，我第一次写这么多评论。因为太爱了。实物。,,,,,,
杨***8,2017/6/8 20:51,3399黑金,44,东西不错，非常实惠，强力推荐。,,,,,,
勿***3,2017/6/12 12:48,2323白黑,42,给老公买的他很喜欢，鞋子很漂亮。放心购买！,,,,,,
j***6,2017/6/6 21:26,1717红色,40,鞋子挺好的，   穿了  超级帅。    都把了几个妹子。   高端大气上档次。最最最主要的是  掌柜 声音很好听。好多顾客都问我在哪里买的，,,,,,,
